step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
4760,2023-07-03 13:30:10.158726608,2,194.06437,19.0,-0.03687066815037376,3687.0501285373757,-0.009290076980221329,0.0166865
4761,2023-07-03 13:30:10.158751443,2,194.06418,14.0,-0.027167589552222766,2716.7424189222766,-0.011290076980230879,0.0165363
4762,2023-07-03 13:30:10.160878024,2,194.06404,20.0,-0.03881175466560396,3881.1589984603957,-0.006290076980235426,0.0164681
4763,2023-07-03 13:30:10.164816478,2,194.04384,14.0,-0.027164600587222764,2716.4436589222764,-0.012290076980235654,0.0163998
4764,2023-07-03 13:30:10.164817693,2,194.05370000000002,21.0,-0.04075016473583416,4075.000018383416,-0.006290076980235426,0.0164552
4765,2023-07-03 13:30:10.164838332,2,194.05349,18.0,-0.034927432719143565,3492.7268386143564,-0.013290076980212007,0.0164333
4766,2023-07-03 13:30:10.208337247,2,194.05331,22.0,-0.04268967739506435,4268.951278306436,-0.010290076980226104,0.0164612
4767,2023-07-03 13:30:10.208362366,2,194.05309000000003,26.0,-0.05045032587598514,5045.015557998515,-0.014290076980216782,0.0170296
4768,2023-07-03 13:30:10.208362366,2,194.05283,29.0,-0.056270270973675734,5627.010067767574,-0.01829007698023588,0.0170296
4769,2023-07-03 13:30:10.208362366,2,194.05254000000002,18.0,-0.03492582768214357,3492.5657386143566,-0.021290076980221784,0.0170296
4770,2023-07-03 13:30:10.208368816,2,194.05236000000002,31.0,-0.06015330297813613,6015.313777613614,-0.010290076980226104,0.0165202
4771,2023-07-03 13:30:10.326683164,2,194.05205,23.0,-0.04462683452429454,4462.666768229455,-0.023290076980231333,0.0166842
4772,2023-07-03 13:30:10.327198619,2,194.04182,29.0,-0.056267947032675736,5626.777777767574,-0.015290076980221556,0.0169255
4773,2023-07-03 13:30:10.327198619,2,194.05153,29.0,-0.056269022932675744,5626.885367767574,-0.021290076980221784,0.0169255
4774,2023-07-03 13:30:10.329420632,2,194.05124,17.0,-0.032985284748913365,3298.5120386913363,-0.021290076980221784,0.0164362
4775,2023-07-03 13:30:10.467727257,2,194.05107,31.0,-0.06015321338613614,6015.304787613614,-0.009290076980221329,0.016551
4776,2023-07-03 13:30:10.658728390,2,194.04076,17.0,-0.032983167486913365,3298.2998786913363,-0.023290076980231333,0.01687
4777,2023-07-03 13:30:10.658728390,2,194.03059,17.0,-0.032983818586913356,3298.364988691336,-0.009290076980221329,0.01687
4778,2023-07-03 13:30:10.658728390,2,194.03042,29.0,-0.05626638047767574,5626.6211777675735,-0.009290076980221329,0.01687
4779,2023-07-03 13:30:10.658728390,2,194.03013,36.0,-0.06984348067228713,6984.331197228713,-0.021290076980221784,0.01687
4780,2023-07-03 13:30:10.658728390,2,194.02977,11.0,-0.021340349353532177,2134.017489153218,-0.028290076980226786,0.0174462
4781,2023-07-03 13:30:10.658728390,2,194.02966,29.0,-0.05626790583967574,5626.773137767574,-0.0032900769802211016,0.0174462
4782,2023-07-03 13:30:10.658728390,2,194.02937,33.0,-0.06402294973659653,6402.277527459652,-0.021290076980221784,0.0174462
4783,2023-07-03 13:30:10.658728390,2,194.02904,25.0,-0.04850117444275495,4850.099998075495,-0.02529007698021246,0.0174462
4784,2023-07-03 13:30:10.658728390,2,194.02879000000001,29.0,-0.05626359353967574,5626.3419077675735,-0.017290076980231106,0.0174462
4785,2023-07-03 13:30:10.658728390,2,194.0285,9.0,-0.01746083145507178,1746.065699307178,-0.021290076980221784,0.0174462
4786,2023-07-03 13:30:10.658808016,2,194.02841,28.0,-0.05432783641844554,5432.767197844554,-0.001290076980211552,0.016444
4787,2023-07-03 13:30:11.037162442,2,194.02813,27.0,-0.05238236563721534,5238.218967921534,-0.02029007698021701,0.0175958
4788,2023-07-03 13:30:11.037162442,2,194.01786,19.0,-0.03685994034337377,3685.9764385373765,-0.019290076980212234,0.0175958
4789,2023-07-03 13:30:11.037162442,2,194.01767,34.0,-0.06596246073182672,6596.228477382672,-0.011290076980230879,0.0175958
4790,2023-07-03 13:30:11.037162442,2,194.01733000000002,31.0,-0.06013749443413614,6013.731847613614,-0.026290076980217236,0.0175958
4791,2023-07-03 13:30:11.037162442,2,194.01702,8.0,-0.015519680751841581,1551.9504793841581,-0.023290076980231333,0.0175958
4792,2023-07-03 13:30:11.037162442,2,194.01694,39.0,-0.07566682152797771,7566.664556997772,-0.0002900769802351988,0.0175958
4793,2023-07-03 13:30:11.074291917,2,194.01655000000002,13.0,-0.025218265425992578,2521.8100689992575,-0.03129007698021269,0.0164736
4794,2023-07-03 13:30:11.074317762,2,194.02642,16.0,-0.03104357086468316,3104.3406387683162,-0.005290076980230651,0.0164477
4795,2023-07-03 13:30:11.314316435,2,194.02626,8.0,-0.015521608423841583,1552.1443993841583,-0.008290076980216554,0.016443
4796,2023-07-03 13:30:11.314338387,2,194.02618,29.0,-0.056267759214675736,5626.759217767573,-0.0002900769802351988,0.0167037
4797,2023-07-03 13:30:11.314346493,2,194.02589,9.0,-0.017460587785071778,1746.042209307178,-0.021290076980221784,0.0165692
4798,2023-07-03 13:30:11.324724995,2,194.0258,24.0,-0.04656610544252475,4656.593998152475,-0.001290076980211552,0.0165461
4799,2023-07-03 13:30:11.326970899,2,194.02556,25.0,-0.048502544506754945,4850.237998075495,-0.01629007698022633,0.0164526
4800,2023-07-03 13:30:11.327262756,2,194.03530999999998,33.0,-0.06402622100559652,6402.6055474596515,-0.017290076980231106,0.0165531
4801,2023-07-03 13:30:11.327284811,2,194.04498,25.0,-0.04850515145175495,4850.498498075494,-0.02529007698021246,0.0166471
4802,2023-07-03 13:30:11.327284811,2,194.04473000000002,17.0,-0.03298486015791336,3298.469368691336,-0.017290076980231106,0.0166471
4803,2023-07-03 13:30:11.327288193,2,194.04456000000002,15.0,-0.02910547738745297,2910.531298845297,-0.009290076980221329,0.0164399
4804,2023-07-03 13:30:11.327294218,2,194.04441000000003,14.0,-0.027165380239222773,2716.5216389222774,-0.007290076980211779,0.016385
4805,2023-07-03 13:30:11.334371547,2,194.04427,31.0,-0.060152034818136135,6015.186987613613,-0.006290076980235426,0.0164942
4806,2023-07-03 13:30:11.334371547,2,194.04396000000003,25.0,-0.04850539492275495,4850.522998075495,-0.023290076980231333,0.0164942
4807,2023-07-03 13:30:11.336267627,2,194.04371,29.0,-0.05626791239567573,5626.774587767573,-0.017290076980231106,0.0166518
4808,2023-07-03 13:30:11.336267627,2,194.05342000000002,23.0,-0.044627609300294545,4462.744278229455,-0.021290076980221784,0.0166518
4809,2023-07-03 13:30:11.336267627,2,194.05319,21.0,-0.04074816960183416,4074.8003083834155,-0.015290076980221556,0.0166518
4810,2023-07-03 13:30:11.336579544,2,194.05298,13.0,-0.025225342308992576,2522.5176589992575,-0.013290076980212007,0.0165719
4811,2023-07-03 13:30:11.362414870,2,194.05285,39.0,-0.07567886488997771,7567.870046997772,-0.005290076980230651,0.016442
4812,2023-07-03 13:30:11.409293001,2,194.05246,19.0,-0.03686422276437376,3686.405838537376,-0.03129007698021269,0.0164379
4813,2023-07-03 13:30:11.544037016,2,194.03226999999998,34.0,-0.06596741379182672,6596.724877382671,-0.011290076980230879,0.0165018
4814,2023-07-03 13:30:11.777108492,2,194.02193,16.0,-0.03103949341668316,3103.9327987683164,-0.026290076980217236,0.0165429
4815,2023-07-03 13:30:11.865132303,2,194.01177,39.0,-0.07566167349597772,7566.150926997772,-0.008290076980216554,0.0164226
